"","status","family","pval","qval","genes","num_cells_expressed"
"Fstl3","OK","negbinomial.size",0.00228975981669555,0.0151769008752373,"Fstl3",24
"Fstl4","OK","negbinomial.size",0.0106294688609257,0.05381726881267,"Fstl4",41
"Fth1","OK","negbinomial.size",2.31343651002402e-05,0.000270387099377202,"Fth1",229
"Ftl1","OK","negbinomial.size",0.600804931736235,0.846690012977111,"Ftl1",230
"Fto","OK","negbinomial.size",0.0619394582546469,0.208152305561752,"Fto",161
"Ftsj1","OK","negbinomial.size",0.064413400874692,0.213883020264546,"Ftsj1",92
"Ftsj2","OK","negbinomial.size",0.786431911869496,0.946798335300971,"Ftsj2",34
"Ftsj3","OK","negbinomial.size",0.989066531111704,0.999998135217801,"Ftsj3",139
"Fubp1","OK","negbinomial.size",0.0295922621651062,0.12026534876544,"Fubp1",227
"Fubp3","OK","negbinomial.size",0.499160755573255,0.775314140842707,"Fubp3",206
"Fuca1","OK","negbinomial.size",0.00589337280494695,0.0334661368047176,"Fuca1",93
"Fuca2","OK","negbinomial.size",0.0646726871797972,0.214507536613421,"Fuca2",54
"Fuk","OK","negbinomial.size",0.834995910963205,0.969476561411848,"Fuk",27
"Fundc1","OK","negbinomial.size",0.808658491283677,0.9575461400792,"Fundc1",149
"Fundc2","OK","negbinomial.size",0.921686398734612,0.99453546936521,"Fundc2",176
"Fuom","OK","negbinomial.size",0.280425251248816,0.56040664352183,"Fuom",87
"Furin","OK","negbinomial.size",0.734859632904829,0.919046615366317,"Furin",95
"Fus","OK","negbinomial.size",0.0632219861123971,0.211148817254541,"Fus",199
"Fut10","OK","negbinomial.size",0.461859983256177,0.746607265556023,"Fut10",33
"Fut11","OK","negbinomial.size",0.651661724610103,0.877576367262168,"Fut11",29
"Fut4","OK","negbinomial.size",0.701511548315121,0.902831801473588,"Fut4",10
"Fut8","OK","negbinomial.size",0.0521090091440672,0.183869270918304,"Fut8",66
"Fuz","OK","negbinomial.size",0.785955243276914,0.946602766765299,"Fuz",35
"Fv1","OK","negbinomial.size",0.198526676451178,0.45488618582177,"Fv1",16
"Fxn","OK","negbinomial.size",0.845859329631407,0.97222257174815,"Fxn",118
"Fxr1","OK","negbinomial.size",0.387262584169219,0.679223685046267,"Fxr1",207
"Fxr2","OK","negbinomial.size",0.92896972111114,0.996648077621085,"Fxr2",115
"Fxyd1","OK","negbinomial.size",0.712775341070258,0.908594399650545,"Fxyd1",36
"Fxyd2","OK","negbinomial.size",0.865358683560112,0.977011146021638,"Fxyd2",10
"Fxyd4","OK","negbinomial.size",0.896898208698303,0.984718785857069,"Fxyd4",19
"Fxyd6","OK","negbinomial.size",5.2453761496436e-07,8.26232452329483e-06,"Fxyd6",166
"Fyb","OK","negbinomial.size",0.917301356287243,0.993514074785755,"Fyb",196
"Fyco1","OK","negbinomial.size",0.0116316151131958,0.0579416957891728,"Fyco1",77
"Fyn","OK","negbinomial.size",3.33380041978731e-08,6.2769211028808e-07,"Fyn",161
"Fyttd1","OK","negbinomial.size",0.600833717922595,0.846690012977111,"Fyttd1",183
