"","status","family","pval","qval","genes","num_cells_expressed"
"Fgfr2","OK","negbinomial.size",1.66661623506073e-06,1.91782517852061e-05,"Fgfr2",312
"Chp2","OK","negbinomial.size",1.8302661741247e-17,6.99494454183658e-16,"Chp2",18
"Plk1","OK","negbinomial.size",4.69976411125372e-23,2.73149423830101e-21,"Plk1",92
"Tpp1","OK","negbinomial.size",0.000556964330013762,0.00389597012209294,"Tpp1",194
"Trim30a","OK","negbinomial.size",1.55913144833129e-08,2.39509936983609e-07,"Trim30a",11
"Oat","OK","negbinomial.size",1.26251110695703e-05,0.000125179167303004,"Oat",323
"Lhpp","OK","negbinomial.size",1.36494556889129e-05,0.000134175319679321,"Lhpp",175
"Rrm1","OK","negbinomial.size",3.38330840386658e-14,9.63211864324273e-13,"Rrm1",271
"Bccip","OK","negbinomial.size",0.00028212817412995,0.00213065900127361,"Bccip",301
"Stim1","OK","negbinomial.size",9.7660835826024e-19,4.02515837071181e-17,"Stim1",113
"Pgap2","OK","negbinomial.size",0.00345242671510548,0.018841196768027,"Pgap2",223
"Mki67","OK","negbinomial.size",5.90078865407362e-45,1.07856154355328e-42,"Mki67",142
"Atp6ap2","OK","negbinomial.size",0.00952230324660803,0.0434341007400436,"Atp6ap2",244
"Usp9x","OK","negbinomial.size",5.72629593253214e-08,8.19750786618563e-07,"Usp9x",343
"St5","OK","negbinomial.size",1.11376638088154e-16,3.9568511537121e-15,"St5",331
"Trim66","OK","negbinomial.size",9.0623517874539e-09,1.43046784409723e-07,"Trim66",19
"Tub","OK","negbinomial.size",0.00100939514084198,0.00651842883579064,"Tub",15
"Cdk16","OK","negbinomial.size",1.10777873659862e-05,0.00011079544350501,"Cdk16",243
"Oraov1","OK","negbinomial.size",6.60133986469061e-11,1.34284029634642e-09,"Oraov1",221
"Ano1","OK","negbinomial.size",3.25527495292918e-05,0.000299894285656266,"Ano1",130
"Cul4b","OK","negbinomial.size",2.69716477274065e-11,5.80488773273124e-10,"Cul4b",278
"Smarca1","OK","negbinomial.size",1.70297251789937e-06,1.9578750588648e-05,"Smarca1",301
"Elf4","OK","negbinomial.size",8.17571882816101e-05,0.000702877749562144,"Elf4",70
"Gpc4","OK","negbinomial.size",1.29105276876131e-15,4.16438811243418e-14,"Gpc4",188
"Slc9a9","OK","negbinomial.size",3.93473369703812e-11,8.27081023117413e-10,"Slc9a9",11
"Arhgef6","OK","negbinomial.size",1.29886442116204e-05,0.000128279389817507,"Arhgef6",12
"Otud5","OK","negbinomial.size",0.00385090828463752,0.0205759566589086,"Otud5",142
"Aff2","OK","negbinomial.size",1.65300824514678e-22,9.30702678026392e-21,"Aff2",52
"Msn","OK","negbinomial.size",1.95007786526303e-05,0.000187029521191615,"Msn",233
"Pbdc1","OK","negbinomial.size",0.00446866331559938,0.0233466370075971,"Pbdc1",322
"Itm2a","OK","negbinomial.size",3.96224583420128e-16,1.33258251895857e-14,"Itm2a",306
"Sh3bgrl","OK","negbinomial.size",0.00297419251335297,0.0165463237663907,"Sh3bgrl",369
"Sytl4","OK","negbinomial.size",5.67517995642673e-76,2.7528988311713e-73,"Sytl4",82
"Cenpi","OK","negbinomial.size",0.00245854211399449,0.0141227649941695,"Cenpi",70
"Col4a6","OK","negbinomial.size",0.00175485222591158,0.0105341248325544,"Col4a6",124
"Col4a5","OK","negbinomial.size",0.00238705316962072,0.0137656673869485,"Col4a5",181
"Pak3","OK","negbinomial.size",1.07503017573874e-09,1.89891884823767e-08,"Pak3",61
"Glt28d2","OK","negbinomial.size",4.36010680727979e-05,0.000393626822143255,"Glt28d2",24
"Il13ra2","OK","negbinomial.size",1.25289414592056e-23,7.67063153803404e-22,"Il13ra2",34
"Gpr64","OK","negbinomial.size",0.00653486098704092,0.0322700339735944,"Gpr64",24
"Pdha1","OK","negbinomial.size",0.00290714500555363,0.0162259337195594,"Pdha1",211
"Il2rg","OK","negbinomial.size",1.81100847604026e-17,6.94238264432211e-16,"Il2rg",28
"Zmym3","OK","negbinomial.size",2.8374496310966e-07,3.6968920193585e-06,"Zmym3",290
"Flna","OK","negbinomial.size",4.28141535999097e-07,5.41596895889731e-06,"Flna",391
"Abcb7","OK","negbinomial.size",1.11171571034839e-05,0.000111101097772693,"Abcb7",105
"Gpm6b","OK","negbinomial.size",0.00262392762973798,0.0148866285498225,"Gpm6b",93
"Msl3","OK","negbinomial.size",0.00838683923177212,0.0393947174641006,"Msl3",195
"Ctps2","OK","negbinomial.size",2.36688042077556e-08,3.55793752882257e-07,"Ctps2",215
"Ap1s2","OK","negbinomial.size",0.000178685117965,0.00142541221238114,"Ap1s2",71
"Bgn","OK","negbinomial.size",0.0023390991016341,0.0135262346950065,"Bgn",115
"Atp2b3","OK","negbinomial.size",8.35162902768770e-09,1.3316149847939e-07,"Atp2b3",25
"Abcd1","OK","negbinomial.size",3.7139890763166e-06,4.0491347765578e-05,"Abcd1",40
"Hcfc1","OK","negbinomial.size",7.02850051864651e-06,7.31381588623514e-05,"Hcfc1",320
"Plxna3","OK","negbinomial.size",0.00998479752863493,0.0450709615000514,"Plxna3",92
"Fam3a","OK","negbinomial.size",0.00204469038915362,0.0119998302410449,"Fam3a",108
"Dkc1","OK","negbinomial.size",1.51309798476626e-05,0.000148046483971079,"Dkc1",307
"Zcchc18","OK","negbinomial.size",1.69100473857948e-09,2.94978585933118e-08,"Zcchc18",48
"Prps1","OK","negbinomial.size",0.00147503437793739,0.00907027478037367,"Prps1",143
"Rnf128","OK","negbinomial.size",9.42608170966261e-10,1.67912065709414e-08,"Rnf128",132
"Gas6","OK","negbinomial.size",3.44045438519469e-56,9.64244682357232e-54,"Gas6",196
"Rasa3","OK","negbinomial.size",2.05736300759038e-09,3.54473528029096e-08,"Rasa3",161
"Eif4ebp1","OK","negbinomial.size",0.00252739401956034,0.0144167767411556,"Eif4ebp1",271
"Rab20","OK","negbinomial.size",0.00874295080488148,0.0406735874404888,"Rab20",18
"Ankrd10","OK","negbinomial.size",0.0050369845960184,0.0258552908933594,"Ankrd10",269
"Gpm6a","OK","negbinomial.size",0.00191182941813794,0.0113042628324218,"Gpm6a",28
"Aga","OK","negbinomial.size",0.00995585823303909,0.0449725229352038,"Aga",141
"Eri1","OK","negbinomial.size",0.00159003346460167,0.00967833110789394,"Eri1",103
"Plat","OK","negbinomial.size",0.000163888747232143,0.00131402726007106,"Plat",245
"Agpat6","OK","negbinomial.size",0.0078675186473748,0.037429326737341,"Agpat6",242
"Sfrp1","OK","negbinomial.size",5.44131892927905e-54,1.4601258369376e-51,"Sfrp1",231
"Slit2","OK","negbinomial.size",8.40057684757518e-11,1.68171547939076e-09,"Slit2",156
"Fgfr1","OK","negbinomial.size",2.4353545992442e-07,3.21619813671914e-06,"Fgfr1",214
"Rwdd4a","OK","negbinomial.size",0.000646111143359855,0.00443107870584801,"Rwdd4a",144
"Star","OK","negbinomial.size",0.000108460600518845,0.000904699136073857,"Star",58
"Kcnu1","OK","negbinomial.size",0.00802209212204419,0.0380212799110189,"Kcnu1",10
"Rbpms","OK","negbinomial.size",0.000426716373431266,0.0030788025753519,"Rbpms",248
"Pcm1","OK","negbinomial.size",0.00201472041922471,0.0118515176899543,"Pcm1",369
"Pdgfrl","OK","negbinomial.size",8.73834165556272e-10,1.56545404772666e-08,"Pdgfrl",34
"Cnot7","OK","negbinomial.size",0.00675738536789206,0.0331869720638063,"Cnot7",327
"Msmo1","OK","negbinomial.size",0.00342020369020511,0.018681511018132,"Msmo1",173
"Hpgd","OK","negbinomial.size",4.63161007255403e-12,1.08374519916607e-10,"Hpgd",67
"Tmem184c","OK","negbinomial.size",0.0016024277291037,0.00973967157564141,"Tmem184c",155
"Isx","OK","negbinomial.size",5.73049093320662e-27,4.38017888785466e-25,"Isx",37
"Sorbs2","OK","negbinomial.size",9.25080856963754e-18,3.58988300554673e-16,"Sorbs2",170
"N4bp1","OK","negbinomial.size",0.00587961357354172,0.0295197796136577,"N4bp1",160
"Cbln1","OK","negbinomial.size",5.24648515019572e-06,5.58445245020496e-05,"Cbln1",11
"Sall1","OK","negbinomial.size",6.7270641585097e-23,3.85644241668747e-21,"Sall1",48
"Cdh11","OK","negbinomial.size",9.85692676622161e-09,1.5462134375073e-07,"Cdh11",171
"Orc6","OK","negbinomial.size",0.000878138998708358,0.0057742904336339,"Orc6",265
"Gab1","OK","negbinomial.size",0.000445332943835291,0.00319666425022806,"Gab1",168
"Ap1g1","OK","negbinomial.size",0.00631254045004474,0.0313643535990734,"Ap1g1",209
"Irx3","OK","negbinomial.size",2.52724754389297e-10,4.87364618097526e-09,"Irx3",144
"Mmp2","OK","negbinomial.size",9.32072222607304e-30,8.83856757257393e-28,"Mmp2",203
"Cenpn","OK","negbinomial.size",4.70699575768503e-05,0.00042132455994268,"Cenpn",117
